title,release_date,genre
Doutor Estranho no Multiverso da Loucura,2022-05-05,"Fantasia,Ação, Aventura"
O Homem do Norte,2022-05-12,"Ação,Histórico"
365 Dias: Hoje,2022-04-27,"Drama,Romance,Erótico"
Sonic 2 - O Filme,2022-04-07,"Animação,Família,Aventura"
Jujutsu Kaisen 0: O Filme,2022-04-28,"Animação,Ação,Drama"
O Peso do Talento,2022-05-12,"Ação,Comédia"
Animais Fantásticos: Os Segredos de Dumbledore,2022-04-14,"Fantasia,Aventura"
Cidade Perdida,2022-04-21,"Comédia,Ação,Aventura"
Medida Provisória,2022-04-14,Drama
Homem-Aranha: Sem Volta para Casa,2021-12-16,"Ação,Aventura,Fantasia"
Thor: Amor e Trovão,2022-07-07,"Aventura,Ação,Ficção científica"
365 DNI,2021-11-30,"Drama,Erótico,Romance"
Batman,2022-03-03,"Ação,Policial,Suspense"
Morbius,2022-03-31,"Ação,Fantasia,Aventura"
Os Caras Malvados,2022-03-17,"Animação,Comédia,Aventura"
O Peso do Talento,2022-05-12,"Ação,Comédia"
Top Gun: Maverick,2022-05-26,Ação
Detetives do Prédio Azul 3 - Uma Aventura no Fim do Mundo,2022-04-21,"Aventura,Família"
Red: Crescer É uma Fera,2022-03-11,"Animação,Família,Comédia"
A Médium,2022-05-19,"Terror, Suspense"
Uncharted: Fora do Mapa,2022-02-17,"Aventura,Ação"
Encanto,2021-11-25,"Animação,Família,Fantasia"
Jurassic World Domínio,2022-06-02,"Ação,Aventura,Ficção científica"
Pantera Negra: Wakanda Para Sempre,2022-11-10,"Ação,Aventura,Fantasia"
Eduardo e Mônica,2022-01-20,"Drama,Comédia,Romance"
Crocodilos – A Morte Te Espera,2022-05-12,"Ação,Terror"
Tô Ryca 2,2022-02-03,Comédia
Meteoros,2022-05-06,Suspense
De Volta ao Baile,2022-05-13,Comédia
Super Tiras,2021-11-22,"Comédia ,Policial"
A Caminho do Verão,2022-05-06,"Romance,Drama"
Case Comigo,2022-02-10,"Comédia,Romance"
Águas Profundas,2022-03-18,"Suspense,Erótico"
Assassino Sem Rastro,2022-06-09,"Suspense,Ação"
DC Liga Dos Super Pets,2022-07-28,"Animação,Fantasia,Aventura"
Pureza,2022-05-19,"Drama,Biografia"
A Família Perfeita,2022-05-11,Comédia
Downton Abbey II: Uma Nova Era,2022-04-28,"Drama,Histórico"
Águas Selvagens,2022-05-12,Policial
Entre Irmãos,2022-01-30,Drama
Através da Minha Janela,2022-02-04,"Romance,Drama"
O Rei das Fugas,2022-05-12,"Drama,Ação,Comédia"
After 4 – Depois da Esperança,2022-08-25,"Drama,Romance"
A Voz do Empoderamento,2022-05-03,"Drama,Biografia"
"Não Se Preocupe, Querida",2022-09-22,"Suspense,Drama"
Mãos Talentosas – A História de Ben Carson,2022-04-25,"Drama,Biografia"
Morte no Nilo,2022-02-10,"Policial,Suspense"
A Vida Depois,2022-01-27,Drama
Anônimo,2022-03-17,Ação
Lua de Mel Com a Minha Mãe,2022-04-29,Comédia
Meu AmigãoZão - O Filme,2022-04-28,"Família,Animação,Aventura"
Benedetta,2022-01-13,"Drama,Histórico,Romance"
Arremessando Alto,2022-06-08,"Drama,Esporte"
Matrix: Resurrections,2021-12-22,"Ficção científica,Ação"
Amor & Gelato,2022-06-22,"Comédia,Drama,Romance"
King Richard: Criando Campeãs,2021-12-02,"Drama,Biografia"
A Pior Pessoa do Mundo,2022-03-24,"Drama,Comédia"
Chamas da Vingança,2022-05-19,"Suspense,Fantasia,Terror"
Não Olhe Para Cima,2021-12-09,Comédia
Pânico (2022),2022-01-13,"Terror,Suspense"
Pai Nosso?,2022-05-12,Documentário
Dog - A Aventura de Uma Vida,2022-05-19,Comédia dramática
Dois,2021-12-10,Suspense
Sing 2,2022-01-06,"Animação,Comédia Musical,Família"
O Projeto Adam,2022-03-11,"Ficção científica,Aventura,Ação"
Silverton: Cerco Fechado,2022-04-27,"Ação, Policial,Drama"
Vozes do Passado,2022-05-08,"Terror,Suspense,Drama"
A Fratura,2022-05-05,"Comédia dramática,Drama,Comédia"
Lightyear,2022-06-16,"Animação,Aventura,Comédia"
Moonfall - Ameaça Lunar,2022-02-03,"Ficção científica,Ação"
O Beco do Pesadelo,2022-01-27,"Drama,Suspense"
Sem Saída,2022-02-25,"Suspense,Terror"
Os Opostos Sempre Se Atraem,2022-05-06,"Comédia,Ação"
O Telefone Preto,2022-06-23,"Terror,Suspense"
Fresh,2022-03-04,"Suspense,Terror,Comédia"
Tudo em Todo Lugar ao Mesmo Tempo,2022-06-23,"Ficção científica,Ação,Comédia"
Elvis,2022-07-14,"Biografia,Musical"
Casa Gucci,2021-11-25,"Biografia,Drama"
Meia-Noite no Switchgrass,2022-04-29,"Suspense,Policial"
Todo Dia Uma Vida,2022-04-07,Romance
Adão Negro,2022-10-20,"Ação,Fantasia"
Agente das Sombras,2022-03-10,"Ação,Suspense"
Ambulância - Um Dia de Crime,2022-03-24,"Suspense,Ação"
Respire Fundo,2022-05-06,Drama
A Noite do Triunfo,2022-04-21,Comédia
Rápida e Mortal,2021-11-30,"Faroeste,Aventura,Ação"
Hotel Transilvânia 4: Transformonstrão,2022-01-14,"Animação,Família,Comédia"
Juntos e Enrolados,2022-01-13,Comédia
Ainda Estou Aqui,2022-02-11,"Romance,Drama,Ficção científica"
Predestinado - Arigó e o Espírito de Dr. Fritz,2022-09-01,Drama
Como Matar a Besta,2022-04-28,"Drama,Suspense,Fantasia"
A Filha Perdida,2021-12-31,Drama
Fogo Cruzado,2022-04-22,"Suspense, Ação"
Naquele Fim de Semana,2022-03-03,Suspense
Quarentão,2022-05-04,Comédia
A Seleção,2022-05-02,Comédia 
Até a Próxima Vez,2022-03-18,"Romance,Comédia dramática,Drama"
O Bombardeio,2022-03-09,"Drama,Guerra"
Drive My Car,2022-03-17,"Drama,Romance"
Quatro Amigas numa Fria,2022-05-19,Comédia
@Arthur.Rambo - Ódio nas redes,2022-05-12,Drama
Contra o Gelo,2022-03-02,"Aventura, Drama"
Klondike: A Guerra na Ucrânia,2022-05-05,Drama
Spree,2022-05-06,"Terror,Suspense,Drama"
Uma Mulher de Negócios,2022-05-05,Drama
Luta pela Fé - A História do Padre Stu,2022-05-19,"Drama,Biografia"
O Livro do Amor,2022-02-04,"Comédia,Romance"
Fetiches,2022-05-06,"Comédia,Romance"
O Resgate de Ruby,2022-03-17,"Biografia,Drama,Família"
Tarsilinha,2022-03-17,Animação
Ataque dos Cães,2021-12-01,"Faroeste,Drama"
Alemão 2,2022-03-31,Ação
Tre Piani,2022-04-07,"Comédia dramática,Comédia,Drama"
Caranguejo Negro,2022-03-18,"Suspense,Ação"
Hermanoteu na Terra de Godah,2021-11-25,Comédia
Resident Evil: Bem-Vindo a Raccoon City,2021-12-02,"Ação,Terror"
Mirador,2022-05-05,Drama
Acredite em Mim: A História de Lisa McVey,2022-02-01,"Policial,Biografia"
Inverno,2022-04-05,"Drama,Suspense"
Noite Passada em Soho,2021-11-18,"Suspense,Terror"
Sequestro Noturno,2022-04-11,"Terror,Suspense"
Vivos,2021-11-30,"Aventura,Drama"
Fuga da Meia-Noite,2022-02-21,Suspense
"Paris, 13º Distrito",2022-04-28,"Comédia,Romance,Drama"
Turma da Mônica - Lições,2021-12-30,"Aventura,Comédia,Família"
As Agentes 355,2022-01-20,"Ação, Espionagem,Suspense"
Cruzando a Linha,2022-02-18,"Suspense,Drama"
Joe Bell,2022-02-18,"Biografia,Drama"
King’s Man: A Origem,2022-01-06,"Ação,Espionagem"
Surto,2022-02-14,"Drama,Suspense"
A Jaula,2022-02-17,"Suspense,Drama,Crime"
Enigma do Espaço,2022-05-11,"Suspense,Fantasia"
Imperdoável,2021-12-10,"Drama,Suspense"
Missão Resgate,2021-12-09,"Ação,Suspense"
Os Olhos de Tammy Faye,2022-04-06,"Drama,Biografia"
Intervenção,2021-12-28,"Ação,Policial"
Marmaduke,2022-05-06,"Animação,Família,Comédia"
O Príncipe do Egito,2022-01-05,"Animação,Aventura,Drama"
Obrigado por Fumar,2021-11-22,Comédia 
A Journal for Jordan,2021-12-25,"Drama,Romance,Biografia"
American Underdog,2021-12-25,"Biografia,Drama"
Diário de um Banana,2021-12-03,"Animação,Comédia,Família"
O Justiceiro,2021-12-01,Ação
Trem-Bala,2022-07-29,"Ação,Suspense"
A Tragédia de Macbeth,2022-01-14,Drama
Combinação Perfeita,2022-05-19,"Comédia,Romance"
Sex Appeal,2022-03-18,"Comédia,Drama,Romance"
Exorcismo Sagrado,2022-02-10,Terror
Flee - Nenhum Lugar Para Chamar de Lar,2022-04-21,"Documentário,Animação"
Licorice Pizza,2022-02-17,"Drama,Comédia,Romance"
Belfast,2022-03-10,Drama
Bubble,2022-04-29,"Animação,Fantasia,Aventura"
Granizo,2022-03-30,Comédia
Mentes Perigosas,2021-11-22,"Suspense,Drama,Policial"
Um Dia Difícil,2022-02-27,"Ação,Suspense,Policial"
A Mão de Deus,2021-12-02,"Drama,Biografia"
Em Nome do Pai,2022-02-15,Drama
My Hero Academia - Missão mundial de heróis,2022-01-06,"Animação,Ação,Fantasia"
No Dia do Seu Casamento,2021-12-13,"Romance,Comédia"
O Traidor,2022-04-14,"Biografia,Drama"
O Violino do Meu Pai,2022-01-21,Drama
Quando Encontrei Você,2022-03-25,"Drama,Romance"
Time do Coração,2022-01-28,"Comédia,Esporte"
A Megera Domada,2022-04-13,"Drama,Romance,Comédia"
A Menina Que Acredita em Milagres,2022-01-17,"Drama,Família"
Esquema de Risco: Operação Fortune,2022-03-24,"Ação,Suspense,Espionagem"
Gato de Botas 2: O Último Pedido,2022-09-23,"Animação,Comédia,Aventura"
Os Condenados,2022-03-30,"Ação,Policial,Suspense"
Spencer,2022-01-27,"Biografia,Drama"
Assassinada,2022-04-25,Drama
Incompatível,2022-04-28,"Comédia,Romance"
Laços de Afeto,2022-03-04,"Comédia,Drama"
Metal Lords,2022-04-08,"Comédia,Musical"
O Abrigo,2022-04-06,Drama
"Amor, Sublime Amor",2021-12-09,"Comédia Musical,Romance,Drama"
Deserto Particular,2021-11-25,"Drama,Suspense"
Homem de Deus,2022-04-16,Drama
Instinto Assassino,2022-05-18,"Ação,Suspense"
Munique - No Limite da Guerra,2022-01-21,"Drama,Histórico,Suspense"
Nada é Por Acaso,2022-06-16,"Ação,Suspense,Romance"
Traição e Desejo,2022-03-02,"Drama,Suspense,Romance"
Vale Night,2022-03-17,Comédia
Vidas em Jogo,2022-04-01,Suspense
A Criança do Diabo,2022-04-28,Terror
Escolha ou Morra,2022-04-15,"Suspense,Terror"
A Fortaleza,2021-12-17,"Suspense,Ação"
Bob's Burger: O Filme,2022-05-26,"Animação,Comédia,Aventura"
Conspiração Fatal,2022-05-26,Suspense
Fale com Ela,2022-02-08,"Drama,Comédia,Romance"
Filhos do Privilégio,2022-02-09,"Terror,Suspense"
O Massacre da Serra Elétrica: O Retorno de Leatherface,2022-02-19,"Terror,Suspense"
O Pai da Rita,2022-05-19,Comédia
Você Pertence a Mim,2022-03-14,Suspense
A Crônica Francesa,2021-11-18,"Comédia,Drama,Romance"
A Letra Escarlate,2021-11-22,"Drama,Romance"
Clube dos Pervertidos,2022-05-11,Comédia 
De Volta ao Espaço,2022-04-07,Documentário
Eternamente Demais pra Mim,2022-04-01,"Comédia,Romance"
Fenômeno,2021-11-22,"Drama,Fantasia"
13 Fantasmas,2021-11-22,"Terror,Fantasia"
A Epidemia,2022-01-30,"Terror,Suspense"
A Era do Gelo: As Aventuras de Buck Wild,2022-01-28,"Animação,Comédia,Família"
A Felicidade das Coisas,2022-05-19,Drama
Cracolândia,2022-03-31,Documentário
Dormindo Com o Inimigo,2021-11-22,"Drama,Suspense"
Ghostbusters – Mais Além,2021-11-18,"Aventura,Ação,Comédia"
Mentes Extraordinárias,2022-05-19,"Drama,Comédia"
Meu Porto Seguro,2022-03-21,Drama
Miss França,2022-05-19,Comédia
O Estranho Sem Nome,2022-04-02,Faroeste
Papai é Pop,2022-08-11,Comédia dramática
Segredos em família,2022-05-26,Suspense
Sem Fôlego,2022-02-23,"Drama,Aventura,Crime"
Vitalina Varela,2022-04-14,Drama
"Bar, Doce Lar",2022-01-07,"Biografia,Drama"
Camisa de Força,2022-03-31,"Suspense,Fantasia"
Eiffel,2022-03-11,"Drama,Biografia,Comédia"
Má Educação,2022-02-09,"Drama,Suspense"
Próxima Parada: Lar Doce Lar,2021-12-10,"Animação,Comédia,Família"
Sword Art Online Progressive: Ária de uma Noite sem Estrelas,2022-03-10,"Animação,Ação,Ficção científica"
Um Conto de Amor e Desejo,2022-04-28,"Drama,Romance"
Um Lugar Bem Longe Daqui,2022-07-15,"Drama,Suspense"
Amor Sem Medida,2021-11-18,"Romance,Comédia"
Capitã Nova,2022-04-01,"Aventura,Ficção científica,Família"
Furioza,2022-04-06,"Ação,Policial,Drama"
Indecente,2022-01-13,"Suspense,Policial,Drama"
Maré Vermelha,2021-11-22,"Ação,Drama,Suspense"
O Amor Move Ondas,2022-02-10,"Romance,Drama"
O Mistério de Marilyn Monroe: Gravações Inéditas,2022-04-27,Documentário
O Pai da Noiva,2022-06-16,"Comédia,Romance"
Os Tênis Encantados,2022-05-13,"Comédia Musical,Romance,Fantasia"
Pânico na Floresta: A Fundação,2021-12-08,Terror
Rumspringa,2022-04-29,"Comédia,Drama"
Vai Dar Nada,2022-05-18,Comédia
Whindersson Nunes: É de mim mesmo,2022-03-03,Comédia
Woman King,2022-09-16,"Histórico,Drama"
Yaksha: Operação Implacável,2022-04-08,"Ação,Policial,Suspense"
A Vida é Agora,2022-01-21,Comédia
All the Old Knives,2022-04-08,"Suspense,Espionagem,Drama"
As Garotas de Cristal,2022-04-08,"Drama,Suspense"
Caminhando nas Nuvens,2021-11-22,"Romance,Drama"
"Com Amor, Anônima",2021-12-10,"Drama,Romance"
Contos do Amanhã,2021-12-09,Ficção científica
Halloween Ends,2022-10-14,Terror
Junior,2021-11-22,Comédia 
Nunca Fomos Tão Modernos,2022-04-21,"Romance,Comédia"
O Quarto Secreto,2021-11-15,"Suspense,Ficção científica"
Respect: A História de Aretha Franklin,2022-03-25,"Biografia,Musical"
Spring Breakers - Garotas Perigosas,2022-01-10,"Drama,Policial"
Terra Sem Lei,2022-04-18,"Faroeste,Ação"
Tico e Teco: Defensores da Lei,2022-05-20,"Animação,Ação,Comédia"
Vamos Consertar o Mundo,2022-04-13,"Comédia,Drama"
A Balada do Pistoleiro,2022-01-29,"Faroeste,Ação,Suspense"
A Filha do Rei,2022-01-05,"Aventura,Fantasia"
A Sogra Perfeita,2021-11-25,Comédia
A Última Noite,2021-12-23,"Suspense,Drama,Comédia"
Abercrombie & Fitch: Ascensão e Queda,2022-04-19,Documentário
Batalhas: Freestyle,2022-04-01,"Musical,Romance,Drama"
Bem-Amada,2021-11-22,"Drama,Terror"
Descobertas do Amor,2022-02-08,Romance
Doze É Demais,2022-03-18,"Comédia,Família"
Lulli,2021-12-27,"Comédia,Romance"
Novo no Pedaço,2021-12-29,Comédia 
O Céu Está em Todo Lugar,2022-02-11,"Drama,Romance"
PIG - A Vingança,2022-01-06,"Suspense,Drama"
Terror no Estúdio 666,2022-03-17,"Terror,Comédia"
45 do Segundo Tempo,2022-06-02,"Comédia,Drama"
A Inveja Mata,2022-04-20,Comédia 
A Serpente Verde,2021-12-03,"Animação,Fantasia,Aventura"
A Suspeita,2022-06-16,Ação
Amor com Fetiche,2022-02-11,"Comédia,Romance"
Apresentando os Ricardos,2021-12-21,"Biografia,Romance,Drama"
As Trambiqueiras,2022-03-25,Comédia
Chamados do Além,2021-11-16,Terror
Clifford: O Gigante Cão Vermelho,2021-12-02,"Família,Aventura,Comédia"
Coração de fogo,2022-02-24,"Animação,Família,Comédia"
Cosmoball - Os Guardiões do Universo,2022-01-12,"Ficção científica,Fantasia,Ação"
Crush à Altura 2,2022-02-11,"Comédia,Romance"
Funcionário do Mês,2022-02-23,Comédia 
Golpes de Vingança,2022-02-19,"Ação,Artes Marciais,Policial"
Madalena,2021-12-09,Drama
Memórias de Uma Paixão,2022-03-17,"Romance,Comédia"
Ménage,2022-03-17,"Suspense,Fantasia"
O Presidente Improvável,2022-03-31,Documentário
O Segundo Homem,2022-01-12,"Crime,Drama,Suspense"
Paws of Fury: The Legend of Hank,2022-07-22,"Animação, Comédia,Artes Marciais"
Pequena Mamãe,2022-03-03,Drama
Rise,2022-06-24,"Biografia,Esporte,Família"
Se Organizar Direitinho…,2021-11-30,Comédia
Thar,2022-05-06,Ação
"Tick, Tick…Boom!",2021-11-19,"Musical,Drama,Biografia"
Tina,2021-11-22,"Drama, Biografia,Musical"
Uma Luz na Escuridão,2021-11-22,"Drama,Suspense,Romance"
"Zorba, o Grego",2021-11-22,"Drama,Aventura"
A Babá: O Chamado das Sombras,2021-12-09,Terror
A Ursa Polar,2022-04-22,Documentário
Aretha Franklin: Amazing Grace,2021-11-25,"Documentário,Musical"
Azul Cobalto,2022-04-02,"Drama,Romance"
Belle,2022-01-27,"Animação,Aventura, Drama"
Não Confie em Ninguém: A Caça ao Rei da Criptomoeda,2022-03-30,"Documentário,Policial"
Não Me Mate,2022-02-21,"Fantasia,Terror,Romance"
Nossos Sonhos de Marte,2022-03-24,"Comédia,Romance,Ficção científica"
O Amante De Júlia,2022-01-18,Drama
O Poder da Oração,2022-03-27,Drama
Os Mortos Não Morrem,2022-03-23,"Comédia ,Terror"
Os Piratas: Em Busca do Tesouro Perdido,2022-03-02,"Ação,Aventura,Histórico"
Preso aos Estudos,2022-04-08,Comédia dramática
Segunda-Feira,2022-04-19,"Drama,Romance"
Sorte de Quem?,2022-03-19,"Suspense,Drama,Policial"
The Aftermath,2021-11-22,"Drama,Romance"
Top Gang 2 - A Missão,2021-11-22,"Comédia ,Ação"
Uma Voz Contra o Poder,2022-03-04,"Drama,Biografia"
A Mesma Parte de um Homem,2022-04-07,Drama
À Prova de Balas,2021-11-16,"Ação,Comédia "
Caixa Preta,2022-04-07,"Suspense,Drama"
Die In A Gunfight,2022-04-01,"Ação,Drama,Romance"
Inimiga Perfeita,2021-12-03,Suspense
Meu Primeiro Amor - Parte 2,2021-11-22,"Comédia dramática,Família"
Mimadinhos,2021-11-26,Comédia
Nossas Meninas,2022-02-25,"Comédia,Drama"
Notas Sobre um Escândalo,2021-11-22,"Drama,Suspense"
O Golpista do Tinder,2022-02-02,Documentário
Pedágio Mortal,2022-03-04,"Terror,Suspense"
Silvio Santos - O Sequestro,2021-12-09,Drama
The Contractor - Mercenário,2022-02-01,"Ação,Suspense"
Tratamento de Realeza,2022-01-20,"Romance,Comédia"
Um Lugar Secreto,2021-12-22,"Drama,Suspense"
1BR: O Apartamento,2022-03-19,"Suspense,Drama,Terror"
A Mão Que Balança o Berço,2021-11-22,"Drama,Suspense"
A Mulher de um Espião,2022-03-31,"Drama,Histórico"
A Pedra Mágica,2022-03-16,"Comédia,Aventura"
A Professora de Violino,2022-03-17,Drama
Aberrações,2022-03-04,"Ficção científica,Suspense"
"Anne Frank, Minha Melhor Amiga",2022-02-01,"Drama,Histórico"
Barbie e O Segredo das Fadas,2022-05-01,"Animação,Família,Fantasia"
"Barbie: Big City, Big Dreams",2022-03-24,"Animação,Família,Comédia Musical"
Barbie: Escola de Princesas,2022-05-16,"Animação,Família,Fantasia"
Cadillac Records,2022-04-02,"Musical,Drama,Biografia"
Epa! Cadê o Noé 2,2022-03-31,"Animação,Família,Aventura"
Galeria Futuro,2021-11-18,Comédia
Herói,2022-01-07,"Histórico,Drama,Ação"
Jackass 4.5,2022-05-20,Comédia
Jane Eyre,2022-02-08,"Drama,Romance"
Mesa Para Quatro,2022-01-05,"Romance,Comédia"
Mostra-me o pai,2021-12-02,Documentário
Segredos nas Paredes,2021-12-02,"Terror,Drama,Suspense"
