title,release_date,genre
A Pele Do Urso,2022-03-21,Aventura
A Promessa,2022-03-16,"Drama,Policial"
A Tentação de Matar,2022-02-18,"Drama,Suspense"
A Travessia,2021-11-25,"Animação,Drama"
A Última Ameaça,2021-11-22,"Ação,Suspense"
A Vida Nova,2021-11-22,Drama
Abzurdah,2021-11-22,"Drama,Romance,Biografia"
Adrienne,2021-12-18,Documentário
Agente Biológico,2022-04-28,"Ação,Suspense"
Alelí,2022-03-17,"Drama,Comédia"
Além da Lenda - O Filme,2022-06-09,"Animação,Família"
Além do Oceano (Telugu),2022-03-21,"Ação,Drama,Romance"
Alguém para Eva,2022-02-20,"Comédia ,Romance"
Alice e o Prefeito,2022-01-05,"Comédia dramática,Drama,Comédia"
Ama-me com Ternura,2022-02-11,"Drama,Musical,Romance"
Ame wo Tsugeru Hyouryuu Danchi,2022-09-16,"Animação,Aventura,Família"
Amigas Improváveis,2021-11-14,"Drama,Comédia"
"Amityville, O Terror",2022-04-01,Terror
Amor Artificial,2022-02-19,"Romance,Ficção científica,Comédia"
Amor Fati,2021-12-16,"Documentário,Drama"
Amor Louco,2021-11-22,"Comédia dramática,Romance"
And Just Like That…O Documentário,2022-02-03,Documentário
Angèle,2021-11-26,"Documentário,Musical"
Annette,2021-11-26,"Comédia Musical,Romance,Drama"
Anni Da Cane,2021-11-26,"Comédia,Romance"
Apollo 10 e Meio: Uma Aventura Espacial,2022-04-01,"Animação,Aventura,Drama"
"Apresentando, Nate",2022-04-01,"Comédia Musical,Família"
Aqui e Agora,2021-12-16,Comédia dramática
Aquilo Que Nos Separa,2022-01-09,"Comédia,Drama,Musical"
Árvores da Paz,2022-06-10,Drama
As Donas do Pedaço,2021-12-05,"Comédia,Romance"
As Faces Da Beleza,2022-03-08,Documentário
As Leis da Fronteira,2021-11-22,"Policial,Ação,Drama"
As Tartarugas Ninja III,2022-04-25,"Aventura,Ação,Comédia "
Asas de Águia,2021-12-12,"Biografia,Guerra,Drama"
Assassinato na cachoeira,2022-05-02,Policial
Bancando a Mona Lisa,2022-01-01,Comédia 
Beautifully Broken,2021-12-12,Drama
Becoming Cousteau,2021-11-24,Documentário
"Bem Me Quer, Mal Me Quer",2022-04-05,"Romance,Drama"
Bem-vindo à Vida,2021-11-22,Drama
Beyond the Brick: A LEGO Brickumentary,2022-03-30,Documentário
Blast Beat,2022-02-18,Drama
Blaze,2022-02-15,"Biografia,Drama"
Blind Detective,2021-12-01,"Suspense,Policial,Drama"
Bluebird,2022-02-20,Documentário
"Bom dia, Natal",2022-01-25,Romance
Boogie,2022-02-17,Drama
Brasil Azul,2022-02-26,Documentário
Broke,2022-02-15,Documentário
Bros,2022-08-11,"Romance,Comédia"
Brothers in Exile,2021-11-22,Documentário
Burlesque,2022-03-23,"Comédia dramática,Comédia"
Busca Explosiva 2,2021-12-08,"Ação,Suspense"
Caçada,2022-04-08,"Terror,Suspense"
Campo de Batalha,2021-12-12,"Drama,Guerra"
Carreiras,2021-11-14,Outros
Carros Usados,2022-03-23,Comédia
Casa Amor,2021-11-29,"Comédia,Doramas"
Casal de Fachada,2022-05-20,"Comédia,Romance"
Casos e Casamentos,2021-11-22,Comédia 
Casulo,2021-12-09,"Drama,Romance"
Cats e a Gatolândia,2022-01-04,"Animação,Família"
Cenas em um Shopping,2021-11-22,Comédia 
Chamada Explosiva,2021-11-19,"Ação,Suspense,Drama"
Charge and Bail,2022-04-29,"Drama,Comédia"
Cine Gibi 9: Vamos Fazer de Conta!,2021-12-10,Animação
Clara,2022-04-06,"Ficção científica,Drama"
Clive Davis: The Soundtrack of Our Lives,2021-12-10,Documentário
Códigos Ocultos,2021-12-02,"Policial,Suspense"
Como Estrelas Cadentes,2022-01-28,Comédia
Como Me Apaixonei por um Gângster,2022-01-12,"Drama,Policial"
Como Salvar o Papai Noel,2021-11-17,"Animação,Comédia"
Companhia das Focas,2021-12-31,"Animação,Ação,Comédia"
Conspiração Wander,2021-12-29,"Suspense,Ação,Policial"
Cora,2021-12-03,Drama
Coração de Trovão,2022-04-20,"Policial,Suspense,Faroeste"
Coração Violento,2021-11-15,"Romance,Drama,Suspense"
Corações em guerra,2022-01-28,"Drama,Romance,Histórico"
Correndo com Tesouras,2022-04-20,Comédia dramática
Dahl e Potter: um Encontro Mágico,2021-11-15,"Comédia dramática,Família,Drama"
Daiki Tsuneta: Tokyo Chaotic,2021-12-31,"Documentário,Musical"
Dark River,2022-03-04,Drama
Dating Amber,2022-02-14,"Comédia,Drama,Romance"
De Novo Natal?,2021-12-17,"Comédia,Família,Aventura"
Decisão de Uma Vida,2021-11-21,Drama
Depois dos 30,2022-01-05,Comédia 
Desafio à Corrupção,2021-11-22,Drama
Desastre Vulcânico,2022-03-25,Documentário
Detective Conan: Dimensional Sniper,2022-01-03,"Aventura,Animação,Ação"
Detective Conan: The Fist of Blue Sapphire,2022-01-03,"Animação,Ação,Aventura"
Deus Tem AIDS,2021-12-02,Documentário
Direito à Vida,2021-11-28,Drama
Disputa de Sangue,2021-11-20,"Doramas,Ação"
Don’t Make Me Go,2022-07-15,"Comédia,Drama,Aventura"
Doraemon: In nobita and The Steel Troops: The New Age,2022-01-17,"Animação,Aventura,Ação"
Dragon Inn Parte 1: A Cidade da Tristeza,2021-11-30,"Ação,Doramas"
Dragon Inn Parte 2: A Noite dos Deuses,2021-11-30,"Ação,Doramas"
Duelo na Cidade Fantasma,2021-12-31,Faroeste
Duro na Queda,2022-04-19,"Ação,Drama,Policial"
E agora mamãe saiu de férias 2...e levou a família,2021-12-09,Comédia
Ecos do Passado,2021-12-16,Drama
EdTV,2021-11-22,Comédia 
El Chicano,2021-11-22,"Ação,Suspense,Drama"
El espejo de los otros,2021-11-22,Comédia dramática
Ella Fitzgerald: Just One of Those Things,2022-05-01,"Documentário,Biografia,Musical"
Elway to Marino,2022-02-15,"Documentário,Biografia,Histórico"
Em Nome do Rei 2 - Entre Dois Mundos,2021-12-20,"Fantasia,Aventura"
Embattled - Dias de Luta,2021-12-11,"Ação,Drama,Artes Marciais"
Enquanto Vivo,2021-11-25,Drama
Esquentando o Alasca,2021-11-22,"Comédia ,Drama"
Essa Não É Uma Comédia,2022-01-14,"Comédia dramática,Drama,Comédia"
Essa Noite Você é Minha,2021-12-04,"Comédia ,Musical"
Eu Não Choro,2022-01-20,"Comédia,Drama"
Expresso de Natal,2022-01-21,Romance
Eyjafjallajokull,2022-01-29,Comédia 
Fabian - O mundo está acabando,2022-03-10,"Drama,Histórico"
Falling For Figaro,2022-04-01,"Comédia,Romance,Musical"
Fama e Tragédia de um Astro Colombiano,2022-03-30,Documentário
Farrapo Humano,2021-12-31,Drama
Fé e Fúria,2022-10-13,Documentário
Feito Para Bailar,2022-03-17,Comédia
Feminices,2022-02-06,Drama
Flocking,2022-03-23,"Suspense,Drama"
Flores de Aço,2022-02-15,"Comédia dramática,Romance"
Fodonas da Comédia,2021-11-18,Comédia
Fortaleza Hotel,2022-01-27,Drama
Front And Center Presents: Jack Johnson,2021-11-16,Show
Garota Americana,2022-03-03,Drama
Gintama 2: Quebrando As Regras,2022-04-01,"Ação,Aventura,Comédia"
Gracinha,2021-11-26,Musical
Grande Problema,2021-11-22,Comédia 
Guerra de Algodão,2022-03-17,Drama
Guerreiros do Céu e da Terra,2021-12-01,"Ação,Aventura,Drama"
Halftime,2022-06-14,"Documentário,Musical"
Heróis de Guerra,2021-12-16,"Guerra,Drama,Histórico"
Hilda e o Rei da Montanha,2021-12-31,"Animação,Aventura,Família"
Hipnose,2022-04-25,"Suspense,Terror"
Hora do Chá,2022-01-27,Documentário
Instituto do Terror para Garotas Encrenqueiras,2021-12-05,"Terror,Comédia"
"Isso Não É Um Enterro, É Uma Ressurreição",2021-12-23,Drama
Isto Não É Berlim,2021-11-22,Drama
Jagged,2021-11-20,"Documentário,Musical"
Jogos Patrióticos,2021-12-29,"Suspense,Ação"
"John Lennon: His Life, Legacy, Last Days",2022-03-04,Documentário
Johnny 100 Pesos - 20 Anos e Um Dia Depois,2022-03-31,"Policial,Crime,Drama"
Johnny Guitar,2022-03-01,"Faroeste,Drama"
Justiceiro por Elas,2022-04-14,"Ação,Suspense"
Juventude pelo Clima,2022-04-29,Documentário
Kamen Rider Zero One: Real x Time,2021-12-03,Ação
Keep Watching,2022-04-02,"Terror,Suspense"
Kuroko's Basketball: Last Game,2021-11-15,"Animação,Drama,Esporte"
La Muerte Lenta de Lucía B,2021-11-20,"Policial,Suspense"
Lara,2021-12-30,Drama
Larica Total 10 Anos Depois,2022-02-19,Comédia
Let Me Take You Down,2022-04-29,Documentário
Life of Crime 1984-2020,2021-12-01,Documentário
Ligados Pelo Sangue,2022-02-17,"Drama,Suspense,Ação"
Little Mix: LM5 - The Tour Film,2022-01-25,"Show,Documentário"
Little Woods,2022-03-15,"Drama,Policial"
Live From The Artist's Den: Vance Joy,2021-11-30,Show
Looop Lapeta,2022-02-04,"Ação,Suspense,Drama"
Love in the Villa,2022-09-01,"Romance,Drama"
Lucy and Desi,2022-03-04,Documentário
Lucy in the Sky,2021-11-22,"Drama,Ficção científica"
Madrugada em Paris,2022-03-24,Drama
Mãe,2021-11-27,Ação
Máfia dos Milionários,2022-04-21,"Biografia,Drama,Policial"
Mais vivos do que nunca,2022-02-08,"Drama,Histórico,Biografia"
Máquina de Surfe,2021-11-27,"Ação,Aventura"
Marcado Pela Promessa,2021-12-31,Drama
Maré Alta,2021-12-03,"Drama, Suspense"
Marte Um,2022-08-25,Drama
Marvel Rising: Heart Of Iron,2022-01-14,"Aventura,Ação,Animação"
Me contro Te: A Vingança do Senhor S,2022-02-01,"Família,Comédia"
Medo cego,2022-02-16,Drama
Melhor a Três,2022-01-28,"Comédia,Romance"
Meninos de Deus,2022-02-15,"Drama,Comédia "
Mentiroso × Mentirosa,2021-12-04,"Romance,Comédia,Drama"
Meu Chão – Clubes Negros Do Rio Grande Do Sul,2021-11-20,Documentário
Meu Filho Amado,2021-11-21,"Ação,Drama"
Meus Amigos Dinossauros,2022-01-23,Animação
Meus Dias de Vinil,2021-11-22,Comédia dramática
Minha estranha família,2022-01-13,Comédia dramática
Minha Querida Confraria,2022-02-19,Comédia
Misfit # Você É Ou Você Se Torna,2022-04-27,Comédia
Missão Final,2022-02-28,Ação
Mixtape,2021-12-03,"Comédia,Drama,Família"
Morituri,2021-11-22,"Guerra,Suspense"
Mulher: Expectativa X Realidade,2021-11-25,Documentário
My Best Friend's Wedding,2021-12-15,"Romance,Comédia"
Na Linha de Fogo,2021-11-22,"Policial,Drama,Ação"
Napping Princess,2021-12-20,"Animação,Drama,Fantasia"
Natal em 8 Bits,2021-11-24,"Comédia, Família"
Natal em Evergreen: Cartas ao Papai Noel,2022-01-04,Romance
Natal em Evergreen: Casamento à Vista,2021-12-22,Romance
Natal em Pemberley Manor,2022-01-21,Romance
Natal em Springdale,2022-01-21,Romance
Natal Por Escrito,2021-12-13,Romance
Nature Boy,2021-11-22,Documentário
Naver Jiok,2022-05-18,Documentário
Nheengatu - O filme,2021-12-02,Documentário
No Caminho da Cura,2021-11-19,Documentário
No Topo do Mundo,2021-12-15,"Romance,Drama"
Nunca Beije Um Homem Em Um Suéter de Natal,2021-12-22,"Comédia,Drama,Romance"
O Abraço do Panda: A Fera Vermelha,2022-03-13,Documentário
O Álamo,2022-02-01,"Faroeste,Ação,Drama"
O Amadurecer de Andy,2021-12-01,Drama
O Amuleto de Natal,2022-01-25,Romance
O Assassino em Mim,2021-12-27,"Suspense,Drama"
O Cão Que Salvou as Férias de Natal,2021-12-20,"Família,Comédia"
O Comitê da Vida,2022-01-03,"Suspense,Drama"
O corredor do terror,2022-03-12,Suspense
O Destino Bate à sua Porta,2021-11-28,"Drama,Policial,Suspense"
O Escândalo Pushkin,2022-02-11,"Biografia,Drama,Histórico"
O Falcão dos Mares,2021-11-28,"Ação,Aventura,Drama"
O Fantasma vermelho,2022-01-27,"Drama,Guerra,Terror"
O Fantástico Dr. Dolittle,2021-11-22,"Fantasia,Comédia,Família"
O Homem Ideal,2021-12-23,"Romance,Ficção científica,Comédia"
O Imperador,2022-02-07,"Ação,Aventura"
O Maior Tubarão-Touro do Mundo,2022-03-13,Documentário
O Mensageiro da Morte,2022-04-04,Faroeste
O Mestre da Vida,2022-03-06,Drama
O Natal dos Darlingtons,2021-11-26,Romance
O Preço a Pagar,2021-12-29,Suspense
O Professor Aloprado 2 - A Família Klump,2021-11-16,Comédia
O Retorno,2022-01-24,Comédia
O Segredo,2022-04-29,Drama
O Segredo dos Anjos,2022-03-12,Romance
O Tigre e a Neve,2021-12-14,"Comédia,Romance,Drama"
O Último Traje,2021-11-22,Drama
O Vôo da Fúria,2022-04-16,"Ação,Suspense"
Of Miracles and Men,2021-11-22,Documentário
Office Royale,2021-12-05,"Comédia,Ação"
Oh My Dog,2022-04-20,Drama
Olivia Rodrigo: dirigindo até você (SOUR: o filme),2022-03-25,"Documentário,Musical"
Onde Fica o Paraíso,2021-11-26,"Drama,Guerra"
One Piece Z,2022-04-15,"Animação,Ação,Aventura"
"One Piece: Flor de Inverno, Milagre da Cerejeira",2022-02-19,"Animação,Aventura"
One Piece: Saga de Alabasta,2022-02-19,"Animação,Aventura"
Operação França 2,2022-04-29,"Policial,Drama,Suspense"
Orgulho e Paixão,2022-04-29,"Aventura,Histórico"
Os Beatles e a Índia,2022-01-24,Documentário
Os Doze Cães de Natal II - O Grande Resgate,2021-12-31,"Família,Aventura"
Os Dragões,2021-12-14,Aventura
Os Mosconautas no Mundo da Lua,2022-04-05,"Animação,Aventura"
Os Rugrats e os Thornberrys Vão Aprontar,2022-01-28,"Animação,Aventura,Família"
Otto - O Rinoceronte,2021-11-28,Animação
Out Deh,2021-12-02,Documentário
Paixão dos Fortes,2022-02-06,Faroeste
Palácio para cachorros,2022-01-01,Comédia
Papai Poderoso 2: Tudo ou Nada,2022-01-01,"Comédia,Família"
Passagem para o Futuro,2021-12-28,"Ficção científica, Drama"
Passagem Secreta,2022-01-27,Drama
Patrick: Aprendendo a Amar,2021-11-22,Comédia
Península Mitre,2021-12-31,Documentário
Perdidos na Escuridão,2021-11-21,"Drama,Romance"
Perseguição Implacável,2021-11-24,"Drama,Suspense"
Perto do Apocalipse,2021-12-26,"Drama,Comédia"
Pimp - Rainha do Gueto,2021-11-25,Drama
Plantão de Natal,2021-12-24,"Romance,Drama"
Plonger,2021-12-06,Drama
Por Favor Matem Minha Mulher,2021-11-22,Comédia 
Post Mortem,2021-12-10,Drama
Poupelle da Cidade das Chaminés,2021-12-05,"Animação,Fantasia"
Preto e Branco,2022-04-11,"Drama,Musical"
Prova de Amor,2022-03-06,"Drama,Romance"
Qualified,2022-04-22,Documentário
Quatro Confissões,2022-01-23,"Drama,Faroeste"
Quebrando Todas as Regras,2022-01-15,Comédia 
Recreo,2021-11-22,Comédia dramática
Relembrado,2022-03-29,"Drama,Suspense"
Resgate de alto risco,2022-01-27,"Drama,Suspense"
Reze pelas Mulheres Roubadas,2022-02-01,Drama
Ride the Eagle,2022-02-19,Comédia
Rio Violento,2022-02-18,Drama
Rito de Passagem,2022-01-27,Documentário
River's Edge,2022-04-01,Drama
Riverdance: Uma Aventura Dançante,2022-01-14,"Animação,Família,Fantasia"
Salem's Lot,2022-09-08,Terror
Sandman,2021-11-28,Animação
Sangre blanca,2021-11-22,"Suspense,Drama"
Santitos,2021-11-19,"Comédia,Drama"
Santo Homem,2021-11-22,Comédia 
Segredos Ocultos,2022-02-18,"Suspense,Drama"
Sem Ressentimentos,2021-12-16,"Drama,Romance"
Sem Seu Sangue,2022-03-17,"Romance,Drama"
Sem Trégua,2022-01-20,Drama
Shock & Awe,2022-04-08,"Guerra,Drama"
Showtime 1958,2022-05-03,Drama
Simple As Water,2021-11-18,Documentário
Sin Señas Particulares,2022-03-01,Drama
Sob o céu aberto,2021-12-05,Crime
Sob o Céu do Líbano,2021-12-14,Drama
Sogno Azzurro: O Caminho da Vitória,2021-11-24,Documentário
Soldados do Gelo,2022-04-02,"Ação,Ficção científica"
Soledad,2022-02-25,"Romance,Drama,Biografia"
Spaceship Earth,2022-03-21,Documentário
Spin,2022-01-07,"Família,Musical,Comédia"
Street Gang: How We Got to Sesame Street,2021-12-13,Documentário
Stuber,2021-11-22,"Comédia ,Ação"
Te Presento a Laura,2022-03-02,"Família,Comédia,Drama"
Teias da Alma,2022-03-26,Drama
Terremoto,2022-02-01,"Aventura,Drama"
The Apollo,2022-03-25,Documentário
The Band That Wouldn't Die,2022-02-15,"Documentário,Esporte"
The Debt Collector 2,2022-03-17,"Ação,Comédia"
The Envelope,2022-03-29,Drama
The Fable,2021-11-17,"Ação,Comédia"
The Fable: O Assassino Que Não Podia Matar,2021-11-17,"Ação,Comédia"
The Fall of the American Empire,2022-04-29,Drama
The First Wave,2022-02-15,Documentário
The Forever Prisoner,2021-12-15,Documentário
The Mole Song: Undercover Agent Reiji,2021-12-04,"Ação,Comédia"
The Most Magical Story on Earth: 50 Years of Walt Disney World,2021-12-08,Documentário
The Public,2022-01-07,Drama
The Queen of Fear,2021-11-22,Drama
The Racer,2022-02-18,Drama
The Search,2022-02-16,"Drama,Guerra"
Todos Estão Mortos,2021-12-03,"Drama,Fantasia,Comédia "
Toscana,2022-05-18,"Comédia,Romance"
Tudo Menos Natal,2021-12-24,"Comédia,Aventura,Fantasia"
Turma da Mônica: Aventuras no Natal,2021-12-10,Animação
UFO,2022-02-24,"Drama,Romance"
Um Amor Após A Vida,2021-11-21,"Comédia,Romance,Fantasia"
Um Brinde ao Sucesso,2022-05-27,Comédia
Um Buquê de Natal,2021-11-26,"Romance,Drama"
Um Cão Para Dois,2022-01-15,Romance
Um Castelo para o Natal,2021-11-26,"Romance,Comédia,Família"
Um Dia em Nova York,2022-04-29,"Comédia Musical,Comédia ,Romance"
Um Dia Para Sempre!,2021-11-18,"Comédia,Romance"
Um filme de verão!,2021-12-09,"Comédia,Ficção científica,Fantasia"
Um Golpe Quase Perfeito,2021-11-28,"Comédia,Ação"
Um Mundo Secreto,2022-03-06,Drama
Um Natal Cinco Estrelas,2021-11-26,"Comédia,Romance"
Um Natal no Castelo,2021-12-22,Romance
Um Novato na Máfia,2022-04-16,Comédia
Um Olhar de Esperança,2021-12-31,Drama
Um Reencontro Natalino,2021-12-23,Romance
Uma Caixa Especial,2021-11-22,Drama
Uma Cidade de Loucura,2021-12-24,Comédia
Uma Doce Revolução,2022-03-08,"Romance,Drama"
Uma Mulher Fatal,2022-01-07,"Drama,Romance"
Uma Noite de Amor,2021-11-22,"Romance,Comédia dramática"
Una Navidad no tan padre,2021-12-21,Comédia
Unhuman,2022-06-03,"Terror,Suspense,Comédia"
Unidade Wega,2022-01-08,Drama
V.I.P,2022-04-27,"Policial,Suspense"
Velha Roupa Colorida,2022-02-24,Drama
Vem Brincar,2021-12-18,"Drama,Terror"
Vidas Cruzadas,2021-12-23,Drama
Vincent-N-Roxxy,2022-04-05,"Ação,Drama,Suspense"
Virando a Mesa,2022-01-10,"Ação,Comédia"
Viva Zapata!,2021-11-22,"Biografia,Histórico"
Vôo Noturno,2022-05-10,Drama
Wild - Rede selvagem,2021-12-02,Documentário
Women Of Troy,2022-01-14,Documentário
Yalda - Uma Noite de Perdão,2021-12-09,"Drama,Suspense"
Yesterday Wonder I Was,2021-11-29,"Drama,Ficção científica"
Youngstown Boys,2022-02-15,Documentário
